LapNumber,Driver,Team,LapTime,Stint,Compound,SpeedI1,SpeedI2,SpeedFL,TrackStatus,avg_throttle,avg_rpm,avg_speed,avg_gear,avg_drs,avg_ers_mode,air_temp,track_temp,humidity,pressure,rainfall,wind_speed,wind_direction,year,gp,circuit_type
63.0,RIC,Renault,0 days 00:01:20.765000,3.0,MEDIUM,,241.0,250.0,1.0,58.75512840583813,9926.15475637624,191.5631526534552,4.784507042253521,0.5859154929577465,,20.6,28.8,78.0,986.3,False,2.2,83.0,2020,montreal,high_fuel
51.0,GAS,Alpine,0 days 00:01:10.594000,3.0,MEDIUM,286.0,219.0,273.0,1.0,70.23989274637123,10388.536811729977,222.2325512440784,5.873370577281192,0.0,,29.5,45.5,33.0,932.8,False,0.9,82.0,2024,austria,additional
22.0,RUS,Mercedes,0 days 00:01:22.702000,1.0,MEDIUM,288.0,277.0,246.0,1.0,57.76909898853676,9797.281588528682,183.4915353311928,4.547169811320755,0.0,,20.5,37.8,49.0,784.9,False,2.1,289.0,2024,mexico,additional
33.0,TSU,RB,0 days 00:01:49.017000,2.0,SOFT,323.0,205.0,219.0,1.0,71.58021175916909,10485.11572894955,230.84497469932597,5.804213135068154,0.0,,21.9,43.6,50.0,977.9,False,2.1,25.0,2024,spa,additional
39.0,BOT,Mercedes,0 days 00:01:32.894000,3.0,SOFT,,303.0,261.0,1.0,66.24833074774432,10511.733533294308,218.07070033453243,5.448079658605974,0.887624466571835,,21.4,28.9,57.6,1009.4,False,5.5,278.0,2019,suzuka,high_fuel
64.0,LEC,Ferrari,0 days 00:01:21.981000,4.0,SOFT,275.0,240.0,246.0,1.0,58.91518062006995,10220.39831672512,185.15357749446704,4.682316118935837,0.0,,18.1,24.7,70.0,986.0,True,3.4,287.0,2022,hungary,additional
44.0,LEC,Ferrari,0 days 00:01:35.685000,3.0,HARD,279.0,301.0,257.0,1.0,67.43698687952157,10163.12503594632,220.6669888574768,5.681626928471248,0.0,,20.1,33.0,52.0,1012.8,False,2.2,186.0,2024,suzuka,high_fuel
60.0,STR,Racing Point,0 days 00:01:19.224000,4.0,HARD,280.0,247.0,251.0,1.0,61.24941919224009,10581.14725202813,191.79742666927504,4.60056258790436,0.0,,21.0,29.2,76.0,986.3,False,2.0,118.0,2020,montreal,high_fuel
30.0,TSU,AlphaTauri,0 days 00:01:18.493000,2.0,HARD,255.0,281.0,291.0,1.0,62.61546318547112,10081.196121164498,198.7960806759628,5.246205733558178,0.0,,19.1,29.8,62.0,1011.2,False,2.0,317.0,2023,montreal,high_fuel
47.0,HAM,Mercedes,0 days 00:01:23.759000,2.0,SOFT,308.0,315.0,312.0,1.0,77.5670747044807,10440.24472939756,247.34736234542143,6.258970358814352,0.6427457098283932,,22.7,32.7,57.1,995.1,False,2.6,177.0,2018,monza,additional
44.0,NOR,McLaren,0 days 00:01:38.229000,2.0,HARD,220.0,186.0,203.0,1.0,60.87141000822283,10116.00871224219,195.55198928216743,5.081290322580645,0.0,,29.0,46.4,33.0,1005.7,False,1.5,0.0,2024,austin,additional
40.0,TSU,RB,0 days 00:01:37.441000,4.0,HARD,281.0,297.0,256.0,1.0,64.83631942481641,10081.055563909516,214.1461901185126,5.756868131868132,0.0,,20.4,33.1,51.0,1012.8,False,2.6,194.0,2024,suzuka,high_fuel
40.0,PER,Red Bull Racing,0 days 00:01:11.004000,2.0,HARD,294.0,223.0,270.0,1.0,65.92998105321043,9917.043426297696,212.92472160412095,5.8478260869565215,0.0,,30.3,47.7,33.0,932.9,False,0.8,303.0,2024,austria,additional
40.0,MAG,Haas F1 Team,0 days 00:01:18.508000,1.0,HARD,204.0,188.0,258.0,1.0,46.28074734008718,9198.396396851933,151.45914220770132,3.8663194444444446,0.1875,,25.3,36.7,41.0,1013.2,False,1.0,143.0,2023,monaco,additional
48.0,ALO,Aston Martin,0 days 00:01:16.045000,3.0,HARD,254.0,278.0,277.0,1.0,64.74909128867012,10076.78373797026,205.53052388786827,5.478632478632479,0.0,,19.2,30.8,63.0,1011.5,False,2.0,348.0,2023,montreal,high_fuel
45.0,SAI,Ferrari,0 days 00:01:24.244000,2.0,MEDIUM,272.0,233.0,242.0,1.0,56.10248194956809,10138.18459002912,184.39809202873093,4.57258064516129,0.0,,18.0,26.1,72.0,985.7,False,3.9,286.0,2022,hungary,additional
11.0,RAI,Alfa Romeo Racing,0 days 00:01:42.973000,1.0,MEDIUM,201.0,182.0,199.0,1.0,60.67900298920588,9723.372752411507,190.72722114483204,5.00445434298441,0.0,,28.5,38.1,58.4,992.3,False,0.6,103.0,2021,austin,additional
20.0,LEC,Ferrari,0 days 00:01:37.562000,2.0,SOFT,230.0,256.0,275.0,1.0,67.06597667499338,10208.940676745146,197.31409547784304,5.081743869209809,0.0,,22.7,27.7,38.0,1010.4,False,0.4,78.0,2022,bahrain,high_fuel
57.0,SAI,Renault,0 days 00:01:09.432000,3.0,SUPERSOFT,,233.0,275.0,1.0,71.8352107423295,10627.239083420502,226.0752826868049,5.73062015503876,0.0,,24.0,44.8,34.4,936.0,False,2.7,65.0,2018,austria,additional
46.0,SAI,McLaren,0 days 00:01:41.425000,2.0,HARD,201.0,185.0,207.0,1.0,62.575797176347066,9947.598702070643,199.3433697026572,5.318918918918919,0.0,,21.6,28.7,36.2,1000.7,False,3.8,203.0,2019,austin,additional
20.0,PER,Racing Point,0 days 00:01:46.846000,2.0,HARD,299.0,270.0,248.0,1.0,51.31096935799121,9226.415883305594,166.3289156087552,4.556511056511057,2.4127764127764126,,29.8,36.3,65.8,1010.9,False,1.9,197.0,2019,singapore,high_fuel
9.0,ALB,Williams,0 days 00:01:51.937000,2.0,MEDIUM,332.0,191.0,212.0,1.0,68.99446290104684,10120.01409292768,219.48016183589652,5.881472957422324,0.0,,18.1,30.1,57.0,966.7,False,2.2,311.0,2023,spa,additional
17.0,HAM,Mercedes,0 days 00:01:32.416000,1.0,MEDIUM,,289.0,208.0,1.0,65.98723333773815,10112.496185303651,202.43241398180095,5.259052924791086,0.0,,28.4,33.4,63.0,1013.7,False,2.2,312.0,2022,abu-dhabi,additional
38.0,HUL,Haas F1 Team,0 days 00:01:53.621000,3.0,SOFT,,182.0,208.0,1.0,69.46627412123014,10075.39886872746,222.94364597851475,5.591484464902186,1.7261219792865363,,18.8,29.1,60.0,966.7,False,1.7,141.0,2023,spa,additional
8.0,ALO,Alpine,0 days 00:01:31.052000,1.0,HARD,285.0,300.0,211.0,1.0,65.14967740810336,10408.559752764431,206.27554487533035,5.180327868852459,0.0,,24.5,28.1,58.0,1017.8,False,0.5,276.0,2021,abu-dhabi,additional
61.0,HAR,Toro Rosso,0 days 00:01:22.654000,2.0,MEDIUM,,238.0,247.0,1.0,57.755186165533694,9907.39597888988,186.7646466180213,4.998435054773083,0.0,,34.3,50.6,27.9,983.3,False,2.5,302.0,2018,hungary,additional
40.0,SAI,Renault,0 days 00:01:43.277000,2.0,SUPERSOFT,280.0,285.0,219.0,1.0,64.12674557810658,9867.09733228744,192.63363457135935,5.087067861715749,0.0,,30.3,33.0,50.5,1013.1,False,2.9,279.0,2018,abu-dhabi,additional
65.0,LEC,Ferrari,0 days 00:01:19.074000,3.0,SOFT,277.0,286.0,289.0,1.0,65.03251756542032,10395.949275933888,207.39234643264845,5.3832236842105265,0.0,,23.6,40.4,63.0,1001.1,False,1.3,337.0,2024,barcelona,high_fuel
3.0,STR,Racing Point,0 days 00:01:37.816000,2.0,MEDIUM,234.0,252.0,281.0,12.0,65.15271544138966,9864.07450101198,196.6865049289634,5.222963951935914,2.4592790387182912,,26.1,29.3,53.7,1003.5,False,3.0,70.0,2019,bahrain,high_fuel
36.0,STR,Aston Martin,0 days 00:01:36.086000,3.0,HARD,230.0,255.0,278.0,1.0,65.69970296813223,10058.140998300703,200.2735577806203,5.177197802197802,1.7307692307692308,,18.0,22.6,50.0,1017.4,False,0.7,41.0,2024,bahrain,high_fuel
34.0,PER,Racing Point,0 days 00:01:25.018000,1.0,SUPERSOFT,,316.0,310.0,1.0,76.49547143154035,10579.67176912169,241.11740633104057,6.257966616084977,0.0,,21.9,29.5,67.3,995.2,True,3.7,192.0,2018,monza,additional
35.0,HUL,Haas F1 Team,0 days 00:01:18.327000,2.0,HARD,200.0,189.0,259.0,1.0,43.53297654792406,9244.20288596356,150.14392148363987,3.755371900826446,1.0049586776859505,,25.5,37.9,41.0,1013.4,False,1.1,174.0,2023,monaco,additional
55.0,GAS,Alpine,0 days 00:01:38.311000,2.0,HARD,,184.0,206.0,1.0,63.89585878355226,9998.77708229474,198.96662585766148,4.99867374005305,0.0,,29.3,46.0,32.0,1005.4,False,1.4,300.0,2024,austin,additional
68.0,GRO,Haas F1 Team,0 days 00:01:21.350000,2.0,HARD,280.0,241.0,252.0,1.0,63.120425455090576,10119.439903366569,195.4285200367256,4.790697674418604,0.0,,20.8,29.3,77.0,986.3,False,2.2,81.0,2020,singapore,high_fuel
12.0,RUS,Williams,0 days 00:01:30.957000,1.0,MEDIUM,,304.0,211.0,1.0,66.42319552768825,10206.570743392323,206.90793688992224,5.378787878787879,0.0,,24.6,28.2,57.6,1017.8,False,0.4,273.0,2021,abu-dhabi,additional
4.0,NOR,McLaren,0 days 00:01:29.647000,1.0,SOFT,252.0,253.0,268.0,1.0,58.24564291041204,10122.926619719208,183.74603538582204,4.330014224751067,2.182076813655761,,36.9,49.4,6.0,996.0,False,4.4,177.0,2022,barcelona,high_fuel
38.0,HAM,Mercedes,0 days 00:01:22.432000,3.0,MEDIUM,284.0,288.0,249.0,1.0,52.09902712911759,9694.752818248093,180.4384742704405,4.618263473053892,1.0703592814371257,,26.5,45.0,21.0,778.9,False,1.6,292.0,2023,mexico,additional
37.0,BOT,Mercedes,0 days 00:01:19.656000,3.0,MEDIUM,280.0,248.0,257.0,1.0,66.21854322997305,10267.949061271138,193.63428277855073,5.004261363636363,0.0,,20.2,25.6,79.3,986.2,False,1.5,87.0,2020,singapore,high_fuel
67.0,HAM,Mercedes,0 days 00:01:16.625000,3.0,HARD,253.0,275.0,282.0,1.0,65.17903750579576,9985.359419182303,198.8115380298819,5.256756756756757,0.0,,22.0,42.1,26.0,1012.0,False,4.1,4.0,2022,montreal,high_fuel
69.0,VET,Aston Martin,0 days 00:01:21.863000,4.0,HARD,280.0,244.0,253.0,1.0,54.96531202212492,9890.23303346029,186.59917154628903,5.001367989056088,0.0,,26.2,36.4,71.6,976.5,False,0.6,105.0,2021,montreal,high_fuel
27.0,LEC,Sauber,0 days 00:01:37.704000,2.0,MEDIUM,,309.0,260.0,1.0,65.25720629457682,10442.942745992734,214.4254183371008,5.174863387978142,0.0,,28.0,37.1,51.0,1008.1,False,2.5,323.0,2018,suzuka,high_fuel
22.0,RIC,RB,0 days 00:01:20.849000,2.0,MEDIUM,262.0,275.0,277.0,1.0,63.47455875250056,10157.59052516002,207.41254322999285,5.502495840266223,1.1647254575707155,,23.9,40.5,63.0,1001.3,False,1.2,236.0,2024,barcelona,high_fuel
36.0,OCO,Renault,0 days 00:01:31.359000,2.0,HARD,,259.0,252.0,1.0,72.71826398746633,10244.165589776523,229.53939398492733,5.723294723294723,0.0,,21.7,41.8,43.4,998.3,False,4.0,218.0,2020,silverstone,additional
23.0,ZHO,Alfa Romeo,0 days 00:01:25.612000,1.0,MEDIUM,270.0,233.0,240.0,1.0,59.13921944580982,9912.18775772054,184.17306233560024,4.82670906200318,0.0,,18.5,27.8,70.0,985.5,False,3.5,291.0,2022,hungary,additional
9.0,GIO,Alfa Romeo Racing,0 days 00:01:31.039000,1.0,MEDIUM,284.0,302.0,209.0,1.0,68.99017226680014,10341.553055907509,207.1954371183608,5.016414141414141,0.0,,24.5,28.1,58.3,1017.8,False,0.4,334.0,2021,abu-dhabi,additional
50.0,ZHO,Kick Sauber,0 days 00:01:24.370000,5.0,INTERMEDIATE,298.0,227.0,295.0,1.0,55.394333311655245,9520.762424692211,185.57563177943663,4.931993817619784,1.0,,20.6,25.3,90.0,925.7,True,0.4,281.0,2024,brazil,additional
43.0,KUB,Williams,0 days 00:01:26.100000,2.0,SOFT,303.0,299.0,301.0,1.0,77.25494000395211,10539.708524088574,245.58131124021037,6.130708661417323,0.0,,21.6,31.3,48.8,989.0,False,1.9,179.0,2019,monza,additional
32.0,ALO,Aston Martin,0 days 00:01:48.921000,2.0,MEDIUM,314.0,205.0,220.0,1.0,66.20581947174153,10511.599018336805,227.72695935237732,5.797136038186157,0.0,,21.8,44.0,49.0,977.9,False,2.1,0.0,2024,spa,additional
29.0,ALO,Aston Martin,0 days 00:01:12.079000,2.0,MEDIUM,316.0,226.0,277.0,1.0,65.39289508513654,10216.223269657536,213.01348652134473,5.626151012891344,0.0,,30.0,46.5,35.0,933.0,False,1.8,280.0,2024,austria,additional
54.0,VER,Red Bull Racing,0 days 00:01:17.087000,2.0,HARD,207.0,193.0,270.0,1.0,46.87035653113431,9254.9161129562,150.10296706966818,3.7777777777777777,1.2537313432835822,,22.8,30.9,54.0,1010.8,True,0.6,141.0,2019,monaco,additional
50.0,OCO,Alpine,0 days 00:01:21.118000,2.0,MEDIUM,289.0,281.0,250.0,1.0,56.15028020059712,10103.20383791398,187.042106680774,4.613559322033899,0.0,,20.2,33.1,50.0,784.7,False,1.6,286.0,2024,mexico,additional
36.0,OCO,Alpine,0 days 00:01:11.583000,2.0,HARD,290.0,224.0,271.0,1.0,66.51961011351638,10369.275526270032,213.13886945101643,5.321428571428571,0.0,,29.6,45.0,35.0,932.9,False,1.4,274.0,2024,austria,additional
42.0,GIO,Alfa Romeo Racing,0 days 00:01:47.828000,3.0,SOFT,297.0,269.0,253.0,1.0,53.950673930489515,10073.037673504,166.20979379233603,3.991389913899139,0.995079950799508,,29.8,34.9,65.3,1011.4,False,1.6,170.0,2019,singapore,high_fuel
59.0,PIA,McLaren,0 days 00:01:37.009000,2.0,HARD,295.0,269.0,254.0,1.0,56.00649821884188,9610.704556914105,179.55935468953888,4.8515625,0.0,,30.5,34.4,74.0,1009.1,False,1.0,72.0,2024,singapore,high_fuel
16.0,VER,Red Bull Racing,0 days 00:01:22.080000,1.0,MEDIUM,288.0,281.0,244.0,1.0,54.380500181317096,9622.305882724992,185.3409615546572,4.9321766561514195,3.3375394321766563,,20.1,34.8,51.0,785.2,False,1.4,321.0,2024,mexico,additional
54.0,RIC,McLaren,0 days 00:01:27.285000,4.0,SOFT,267.0,275.0,271.0,1.0,64.13722256361429,9920.672040756035,195.02728683894537,4.834848484848485,0.0,,36.6,48.5,8.0,995.4,False,2.0,137.0,2022,barcelona,high_fuel
61.0,ALO,Alpine,0 days 00:01:27.384000,4.0,SOFT,245.0,236.0,267.0,1.0,59.96970218269406,9866.104722501062,192.00616233230903,5.146233382570163,0.0,,36.4,48.2,9.0,995.2,False,2.7,162.0,2022,barcelona,high_fuel
20.0,BOT,Mercedes,0 days 00:01:18.364000,3.0,HARD,188.0,183.0,269.0,1.0,42.22595072400486,9551.021650432773,151.84903555588383,3.678333333333333,0.0,,22.9,33.5,51.6,1010.9,True,0.7,165.0,2019,monaco,additional
44.0,VER,Red Bull Racing,0 days 00:01:46.899000,3.0,MEDIUM,334.0,206.0,223.0,1.0,73.21247774357364,10425.172523337618,233.97321080331128,6.102661596958175,2.2788339670468947,,21.5,42.5,48.0,978.1,False,1.7,2.0,2024,spa,additional
30.0,RIC,Red Bull Racing,0 days 00:01:22.367000,1.0,SOFT,278.0,235.0,245.0,1.0,59.209814117015455,9993.155001457577,191.4980976512172,4.7904,0.0,,33.2,50.2,36.4,983.6,False,1.4,242.0,2018,hungary,additional
47.0,RIC,Renault,0 days 00:01:30.530000,3.0,HARD,307.0,267.0,252.0,1.0,75.54919931988711,10706.715253749746,228.36183092004333,5.596291012838802,0.0,,18.6,27.5,63.8,1006.3,False,2.3,46.0,2019,silverstone,additional
35.0,ZHO,Alfa Romeo,0 days 00:01:11.641000,3.0,HARD,293.0,225.0,270.0,1.0,71.10845210478664,10326.585150993356,219.68303120096988,5.857142857142857,0.0,,22.5,31.8,53.0,934.0,False,1.0,80.0,2023,austria,additional
41.0,VER,Red Bull Racing,0 days 00:01:26.301000,3.0,HARD,292.0,304.0,219.0,1.0,64.36425674907086,10438.131797936496,210.3968572381661,5.252873563218391,2.554278416347382,,23.8,26.3,64.3,1018.0,False,0.3,281.0,2021,abu-dhabi,additional
7.0,RUS,Mercedes,0 days 00:01:38.082000,1.0,SOFT,226.0,251.0,278.0,1.0,58.798682710032466,9820.78410149367,194.2640070056555,5.237908496732026,0.0,,18.3,23.5,50.0,1017.1,False,0.5,13.0,2024,bahrain,high_fuel
66.0,PER,Force India,0 days 00:01:23.504000,2.0,SOFT,282.0,236.0,251.0,1.0,57.94053405214898,9809.2311805874,188.45461387200035,4.757097791798107,0.0,,34.3,50.6,28.0,983.2,False,1.0,173.0,2018,hungary,additional
47.0,VER,Red Bull Racing,0 days 00:01:19.109000,2.0,HARD,268.0,271.0,282.0,1.0,66.02290784730677,10096.484492088664,210.95258813299503,5.243862520458265,0.0,,22.0,29.1,66.0,1001.5,False,1.2,49.0,2023,barcelona,high_fuel
53.0,GRO,Haas F1 Team,0 days 00:01:16.546000,2.0,HARD,,280.0,279.0,1.0,63.800059814828025,10232.029095349826,201.58407926908473,5.274137931034483,1.606896551724138,,30.0,50.6,14.8,1021.9,False,1.7,31.0,2019,montreal,high_fuel
50.0,ALO,Aston Martin,0 days 00:01:39.584000,2.0,HARD,220.0,187.0,203.0,1.0,61.9756212197012,9857.144991610114,195.9145180858628,5.122340425531915,0.0,,29.0,47.0,32.0,1005.6,False,0.7,0.0,2024,austin,additional
42.0,GAS,Toro Rosso,0 days 00:01:35.322000,2.0,MEDIUM,,303.0,262.0,1.0,74.14653701655514,10427.985156637562,226.3746382528624,5.873730043541364,0.0,,21.4,28.8,57.5,1009.5,False,5.0,279.0,2019,suzuka,high_fuel
19.0,NOR,McLaren,0 days 00:01:24.465000,1.0,INTERMEDIATE,294.0,220.0,304.0,1.0,51.569445666475616,10010.736777573831,181.024101026242,4.303215926493109,1.0,,22.0,25.1,76.0,926.5,True,0.5,338.0,2024,brazil,additional
46.0,MAG,Haas F1 Team,0 days 00:01:46.958000,3.0,HYPERSOFT,289.0,263.0,247.0,1.0,54.6845353942167,9508.912912090282,171.3390822443804,4.623910336239104,0.0,,29.7,32.2,68.1,1007.9,False,1.9,176.0,2018,singapore,high_fuel
